Company Name,Website,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Primary SIC Code,Executive Ethnicity,Executive Gender,Random_number
Without Walls Intl Church,Withoutwalls.Org,Paula,White,3702 W Kennedy Blvd,Tampa,FL,33609,866107,Western Europe,Female,0.000655515
Antioch Church Of Christ,Ramerchurchofchrist.Com,Bart,Warren,7158 Highway 57 W,Ramer,TN,38367,866107,Western Europe,Male,0.000663886
Church Of Christ Oil City,Oilcitychurchofchrist.Com,Leonard,Dean,12991 Highway 1,Oil City,LA,71061,866107,Western Europe,Male,0.000680507
New Covenant United Mthdst Chr,Newcovenantumc.Ning.Com,Chris,Gobrecht,1709 Frederick St,Cumberland,MD,21502,866107,Western Europe,Male,0.00068579
Bridge Of Peace Community Chr,Bridgeofpeace.Com,Giselle,Coutinho,2755 Tuckahoe Rd,Camden,NJ,8104,866107,Hispanic,Female,0.00069527
Alpine Spiritual Living Church,Alpinechurchofspiritualliving.Org,Gay,Beauregard,2400 Alpine Blvd,Alpine,CA,91901,866107,Western Europe,Female,0.000703616
Pultneyville Reformed Church,Pultneyville.Wixsite.Com,Janice Lee,Fitzgerald,7784 Hamilton St,Williamson,NY,14589,866107,Western Europe,Female,0.000705654
Christian Missionary Alliance,Cmalliance.Org,Jorge,Ibanez,155 E 107th St,New York,NY,10029,866107,Hispanic,Male,0.00070574
Mcadenville Wesleyan Church,Mcadenvillewesleyan.Com,Brian,Matherlee,300 Wesleyan Dr,Mc Adenville,NC,28101,866107,Uncoded,Male,0.000723526
Peoples Community CME Church,Peoplescmechurch.Wixsite.Com,Willie,Owens,2525 N Gettysburg Ave,Dayton,OH,45406,866107,Western Europe,Male,0.000736326
Westgate Memorial Baptist Chr,Westgatechurch.Com,Raymond,Mc Henry,6220 Westgate Dr,Beaumont,TX,77706,866107,Western Europe,Male,0.000736568
Wahiawa Community Chr-Nazarene,Nazkine.Com,John,Miller,1805 California Ave,Wahiawa,HI,96786,866107,Western Europe,Male,0.000737144
House Of Refuge Apostolic Chr,Horacministries.Org,Joan,Whittaker,81 Croton Ave,Ossining,NY,10562,866107,Western Europe,Female,0.000739708
St Andrew United Methodist Chr,Standrewcarolstream.Com,Fernando,Siaba,250 N Gary Ave,Carol Stream,IL,60188,866107,Hispanic,Male,0.000741247
First Mt Carmel Baptist Church,Fmbc.Com,Roscoe,Perry,6269 Cobbham Rd,Appling,GA,30802,866107,Western Europe,Male,0.000745578
Anew Church,Anewworshipexperience.Org,Franshonn,Salter,1448 E 53rd St,Chicago,IL,60615,866107,Western Europe,,0.000758664
Bethel United Methodist Church,Walterborobethelumc.Org,Ben L,Barnett,355 Hampton St,Walterboro,SC,29488,866107,Western Europe,Male,0.000785743
Edgewood United Methodist Chr,Edgewoodumc.Com,James D,Allen,1820 E Epler Ave,Indianapolis,IN,46227,866107,Western Europe,Male,0.000788735
Holiday Island Baptist Church,Holidayisland.Us,James,Colwell,14 Stateline Dr,Eureka Springs,AR,72631,866107,Western Europe,Male,0.000789896
Cedar Bible Church,Cedarbible.Com,Dave,Holm,717 Green Ave,Cedar Falls,IA,50613,866107,Scandinavian,Male,0.00079995
Salem Missionary Baptist Chr,Salem-Mbc.Org,,,S Cumberland St,Willow Hill,IL,62480,866107,Uncoded,,0.00080114
Union Grove Baptist Church,Myuniongrovebaptist.Com,Lane,Wienke,417 15th Ave,Union Grove,WI,53182,866107,Uncoded,Male,0.000802752
New Life Baptist Church,Nlbclith.Com,Mark,Wood,9228 Trinity Dr,Lake In The Hills,IL,60156,866107,Western Europe,Male,0.000803006
Capital City Church Of Christ,Thecapcitycoc.Org,Kenney,Johnson,1505 Grand Ave,Sacramento,CA,95838,866107,Western Europe,Male,0.000811265
New Beginnings Fellowship Bapt,Nbfbc.Org,Jay,Murray,155 Jackson St N,Sulphur Springs,TX,75482,866107,Western Europe,Male,0.000813931
Horizon Church,Horizonbremen.Com,James E,Desmarais Mors,202 N Center St,Bremen,IN,46506,866107,Western Europe,Male,0.000818878
Little Lot United Mthdst Chr,Umc.Org/Find-A-Church/Church/42686,Gloria W,Jones,6784 Little Lot Cemetery Rd,Lyles,TN,37098,866107,Western Europe,Female,0.000840292
New Harvest Church Of God,Newharvestcog.Org,Anderson,Walker,1910 14th Ave,Tuscaloosa,AL,35401,866107,Western Europe,Male,0.000845359
Canyon View Vineyard Church,Thedowntownvineyard.Com,Kirk,Yamaguchi,736 24 1/2 Rd,Grand Junction,CO,81505,866107,Far Eastern,Male,0.000848365
West Salem Trinity United,Wstumc.Com,Brad,Henson,4212 Broadway St,Mount Vernon,IL,62864,866107,Western Europe,Male,0.000853013
Goodman Oaks Church Of Christ,Goodmanoaks.Com,Derek,Mc Namara,1700 Goodman Rd E,Southaven,MS,38671,866107,Western Europe,Male,0.000869992
Living Water Fellowship,Livingfellowship.Com,Paul G,Chamberlin,680 Maple Rd,East Aurora,NY,14052,866107,Western Europe,Male,0.000871111
St Andrews Presbyterian Church,Sapcd.Org,John,Fullerton,705 Michigan Blvd,Dunedin,FL,34698,866107,Western Europe,Male,0.000877574
Christ Deaf Lutheran Church,Christdeaf.Org,Ronald,Friedrich,9545 Georgia Ave,Silver Spring,MD,20910,866107,Western Europe,Male,0.000880568
Watervliet United Mthdst Chr,Umc.Org,Bob,Peters,1401 1st Ave,Watervliet,NY,12189,866107,Western Europe,Male,0.000881099
New Life Baptist Church,Chamberofcommerce.Com,,,5201 Jug Factory Rd,Tuscaloosa,AL,35405,866107,Uncoded,,0.000885683
Prayer Chapel Chr-God & Christ,Prayerchapelcogic.Org,Nathaniel,Goodson Jr,7099 Locust St,Upper Darby,PA,19082,866107,Western Europe,Male,0.000887529
All Souls Presbyterian Church,Allsoulspc.Org,Ulysses S,Payne,19 Overbrook Rd,Richmond,VA,23222,866107,Western Europe,Male,0.000893761
Covenant Presbyterian Church,Marshallcovenant.Com,Dan,Festa,710 E Yerby St,Marshall,MO,65340,866107,Mediterranean,Male,0.000896482
New Season Church Of God,M.Newseasonvaldosta.Com,James A,Burns,122 Pendleton Ave,Valdosta,GA,31601,866107,Western Europe,Male,0.000899573
Legacy Bible Church,Legacybiblechurch.Com,Victor,Halfmoon,,Hutchinson,KS,67502,866107,Native American,Male,0.000916166
Friendship Missionary Bapt Chr,Friendshipontario.Com,Larry A,Thomas,1023 S Sultana Ave,Ontario,CA,91761,866107,Western Europe,Male,0.000918812
Mt Olive First Baptist Church,Mountolivefbc.Org,William C,Callaway,451 Park Ave,Clairton,PA,15025,866107,Western Europe,Male,0.000920157
Ethiopian Seventh-Day Advntst,Ethiopianwa.Adventistchurch.Org,,,1300 E Aloha St,Seattle,WA,98102,866107,Uncoded,,0.000920338
United Methodist Church,Wellmoumc.Org,Darryl,Rider,601 Highway 131,Wellington,MO,64097,866107,Western Europe,Male,0.00092065
Faith Baptist Church,Fbcmillinocket.Org,Ian,Shearer,244 Massachusetts Ave,Millinocket,ME,4462,866107,Western Europe,Male,0.000924849
Cape First Church,Capefirst.Me,Gary L,Brothers,254 S Silver Springs Rd,Cape Girardeau,MO,63703,866107,Western Europe,Male,0.000926081
Minco First Reformed,Frpcminco.Org,Samuel,Rodriguez,101 NW 5th St,Minco,OK,73059,866107,Hispanic,Male,0.000927724
Church Of The Good Shepherd,Goodshepherdec.Org,John,Musgrave,1166 S Mason Rd,Saint Louis,MO,63131,866107,Western Europe,Male,0.000942387
Primera Iglesia Bautista Hspn,1era-Iglesia-Bautista.Org,Ruben,Navarrete,7915 Old Percival Rd,Columbia,SC,29223,866107,Hispanic,Male,0.000943462
United Christian Church,Unitedchristian.Org,Thaylee,Dickerson,1010 N Memorial Dr,Prattville,AL,36067,866107,Western Europe,Male,0.000953122
Liberty Street Chr Of Christ,Weenurserychildcare.Com,Bill J,Henry,2329 Liberty St,Trenton,NJ,8629,866107,Western Europe,Male,0.000953304
Our Savior Lutheran Chr Of Ca,Oslm.Net,W S,Futral,1385 S Livermore Ave,Livermore,CA,94550,866107,Uncoded,Male,0.000953507
Alpha & Omega Church Of Jesus,Apostolicauthority.Org,,,400 W Bradley Ave,Champaign,IL,61820,866107,Uncoded,,0.000954194
Ruddell Hill Baptist Church,Ruddellhillbaptist.Org,Alan,Brown,805 Bethesda Rd,Batesville,AR,72501,866107,Western Europe,Male,0.000958006
Yellow Creek Chr Of Brethren,Yellowcreekcob.Org,Mark,Bendes,65575 County Road 11,Goshen,IN,46526,866107,Not Available,Male,0.000964432
Liberty Grove Baptist Church,Libertygrovebaptist.Org,Jeff,Putman,768 Fairview Rd,Loretto,TN,38469,866107,Western Europe,Male,0.000964688
First United Mthdst Chr Of WA,Firstchurchwashington.Org,R K,Simmons,29 N College St,Washington,PA,15301,866107,Western Europe,Male,0.000975998
Our Savior Lutheran Church,Oursaviorschurch.Info,,,W5352 County Rd N,Beldenville,WI,54003,866107,Uncoded,,0.000984478
Indian Hill Baptist Church,Indianhillbaptistchurch.Com,Doug,Ludlam,389 Fording Island Rd,Okatie,SC,29909,866107,Western Europe,Male,0.000988061
White Cottage Church-Brethren,Whitecottage.Church,,,5700 Bagley Rd,White Cottage,OH,43791,866107,Uncoded,,0.001023309
Calvary Chapel Echo Park,Ccechopark.Com,David,Higa,1822 W Temple St,Los Angeles,CA,90026,866107,Far Eastern,Male,0.001025818
St Peter Lutheran Church,Guitarpreacher.Com,Frederick,Hoover,6540 Central Ave,Portage,IN,46368,866107,Western Europe,Male,0.001032428
Mcmicken Heights Baptist Chr,Mcmickenchurch.Net,John,Wilkins,3754 S 172nd St,Seatac,WA,98188,866107,Western Europe,Male,0.001053735
Mosaic Christain Church,Mosaicchristian.Org,Carl,Kuhl,7024 Troy Hill Dr # F,Elkridge,MD,21075,866107,Western Europe,Male,0.001058236
Calvary United Methodist Chr,Calvaryum.Org,Al,Clipp,220 W Burke St,Martinsburg,WV,25401,866107,Western Europe,Male,0.001073767
Second Parish Orthodox,2ndparish.Org,Daniel,Patterson,32 Neal St,Portland,ME,4102,866107,Western Europe,Male,0.001077873
St Paul United Methodist Chr,Umc.Org,Arcynthia,Louie,610 Martin Luther King St,Georgetown,TX,78626,866107,Far Eastern,,0.001079375
Seventh-Day Adventist Church,Jamestown22.Adventistchurchconnect.Org,William,Mc Neil,130 Mcdaniel Ave,Jamestown,NY,14701,866107,Western Europe,Male,0.001083798
Oak Grove Baptist Church,Oakgrovebaptistchurch.Net,,,780 County Road 308,Plantersville,AL,36758,866107,Uncoded,,0.001100237
Rock Chapel Church Of God,Rockchapel.Org,Nathan,Leasure,49 N Main St,Granite Falls,NC,28630,866107,Western Europe,Male,0.00110869
Redeemer Presbyterian Church,Rpcholland.Com,Charles,Byrd,556 Butternut Dr,Holland,MI,49424,866107,Western Europe,Male,0.001111418
Crystal Park United Mthdst Chr,Crystalparkumc.Com,Carolyn A,Nichols,2219 Mahoning Rd NE,Canton,OH,44705,866107,Western Europe,Female,0.001111946
Timothy Baptist Church,Timothybaptistchurchma.Com,Larry,Green,35 Highland St,Roxbury,MA,2119,866107,Western Europe,Male,0.001112508
Gettysburg Memorial Bapt Chr,Memorialbaptistpa.Org,Steven F,Baker,1096 Biglerville Rd,Gettysburg,PA,17325,866107,Western Europe,Male,0.001116388
Tuscumbia Church Of Christ,Tuscumbiachurchofchrist.Org,Jeff,Abrams,102 E 4th St,Tuscumbia,AL,35674,866107,Not Available,Male,0.001122824
New Life Fellowship,Nlf-Online.Church,Drew,Ryall,2755 S State Road 5,Topeka,IN,46571,866107,Western Europe,Male,0.001123587
United Methodist Hm,Unitedwaybroome.Org,,,1000 Marlin Dr,West Chester,PA,19382,866107,Uncoded,,0.001130004
Bayside Christian School,Anpi15.Adventistschoolconnect.Org,Rob,Robinson,26400 Gading Rd,Hayward,CA,94544,821101,Western Europe,Male,0.001137229
Sanctuary Church,Sanctuarywindsor.Org,Mark,Wilmarth,7860 Bell Rd,Windsor,CA,95492,866107,Western Europe,Male,0.00114047
Word Of Life Family Worship,Wordoflifefwcc.Org,Martha,Starks,726 E Liberty St,Salisbury,NC,28144,866107,Western Europe,Female,0.001141497
Harvest Community Church,Hcc-Fargo.Com,Neil,Thielke,608 Main Ave,Fargo,ND,58103,866107,Western Europe,Male,0.001143685
Church Of Christ West Main,Westmainchurch.Org,Doug,Greenway,2460 W Main St,Tupelo,MS,38801,866107,Western Europe,Male,0.001153936
Community Presbyterian Church,Communitypresbyterian.Com,Mark,Wright,425 Hemlock St,Vacaville,CA,95688,866107,Western Europe,Male,0.001161373
Fannin Road Baptist Church,Fanninrbc.Org,James,Lester,3525 Fannin Rd,Montgomery,AL,36108,866107,Western Europe,Male,0.001171502
Post Road Christian Church,Prcconline.Com,Fred,Caldwell,1112 N Post Rd,Indianapolis,IN,46219,866107,Western Europe,Male,0.001189202
Calvary,Calvary-Bc.Org,Stephen,Dagenhart,275 Airport Rd,Taylorsville,NC,28681,866107,Western Europe,Male,0.001203988
Harlan Baptist Church,Harlanbaptist.Com,Brandon,Pugh,102 W Mound St,Harlan,KY,40831,866107,Western Europe,Male,0.001213707
Scarsdale Congregational Chr,Ucc.Org,Larry R,Kalajainen,1 Heathcote Rd,Scarsdale,NY,10583,866107,Scandinavian,Male,0.001216497
First Congregational Church,Ucc.Org,Elva Merry,Pawle,18 Broad St,Westfield,MA,1085,866107,Uncoded,Female,0.001220855
Covenant Moravian Church,Covenantmoravianyork.Org,,,901 Cape Horn Rd,York,PA,17402,866107,,,0.001222136
First Baptist Church,Fbcelma.Org,Gunnar,Ahlquist,600 W Main St,Elma,WA,98541,866107,Scandinavian,Male,0.001222606
New Hope Community Church,Nhccfl.Org,Phillip,Williamson,1211 New Jersey Rd,Lakeland,FL,33801,866107,Western Europe,Male,0.001244375
South Rockwood United Mthdst,Southrockwoodumc.Com,Stephen,Perrine,6311 S Huron River Dr,South Rockwood,MI,48179,866107,Western Europe,Male,0.001248227
Sacred Exchange Fellowship,Sacredexchange.Com,Michael A,Caparrelli Jr,75 Division St,East Greenwich,RI,2818,866107,Mediterranean,Male,0.001278771
Southern Baptist Church,Potosisouthern.Com,Wayne,Isgriggs,10165 W State Highway 8,Potosi,MO,63664,866107,Uncoded,Male,0.001282124
Jurupa Valley Christian,Calvarychapelinland.Org,Ruben,Solis,5383 Martin St,Mira Loma,CA,91752,866107,Hispanic,Male,0.001285398
Pilgrim United Methodist Chr,Pilgrimumc.Org,Bruce F,Kronen,4325 Zachary Ln N,Minneapolis,MN,55442,866107,Scandinavian,Male,0.001296547
Dunbar Mountain Mission,Dunbarcycles.Com,Jim,Phillips,605 Dunbar Ave,Dunbar,WV,25064,866107,Western Europe,Male,0.001302896
Faith Presbyterian Church,Faithpreschurch.Com,David R,Harrell,210 Meadowview Dr,Aberdeen,MS,39730,866107,Western Europe,Male,0.001319672
River Valley Christian Church,Rvcclighthouse.Org,Jonah,Fetzer,1289 160th St,Saint Croix Falls,WI,54024,866107,Western Europe,Male,0.001323827
New Hope United Methodist Chr,Newhopeumc.Org,Frank,Brock,4815 Dawsonville Hwy,Gainesville,GA,30506,822101,Western Europe,Male,0.001327365
Bethel,Bpnews.Net/Id9,Marilyn,Kimmer,2232 Brandon Hills Rd,Yadkinville,NC,27055,866107,Western Europe,Female,0.001328826
Faith/Fe Presbyterian Church,Faithfepresbyterianchurch.Com,Viola,Lee,900 Aransas St,Lockhart,TX,78644,866107,Western Europe,Female,0.001332898
Spring Hill Baptist Church,Shbc.Cc,Paul,Sands,2 Mcgregor Ave S,Mobile,AL,36608,866107,Western Europe,Male,0.001338217
Christ Community Church,Cccmilpitas.Org,Mark,Tumney,1000 S Park Victoria Dr,Milpitas,CA,95035,866107,Uncoded,Male,0.001338634
Church Of Christ,Pointchurchofchrist.Org,,,150 N 1st St,Point,TX,75472,866107,Uncoded,,0.00135063
Ovilla Road Baptist Church,Orbc.Org,Drew,Erickson,3251 Ovilla Rd,Red Oak,TX,75154,866107,Scandinavian,Male,0.001356761
Zion Lutheran Church,Zlcmidway.Org,Nirmala,Reinschmidt,1697 Lafond Ave,Saint Paul,MN,55104,866107,South Asian,Female,0.001358472
Albany Baptist Church,Albanybaptist.Org,Carl,Prokop,5331 State St,Albany,OH,45710,866107,Western Europe,Male,0.001359425
Assembly Christian Church,Accni.Com,Paul J,Neel,4201 E Admiral Doyle Dr,New Iberia,LA,70560,866107,Western Europe,Male,0.001360159
First Presbyterian Church,Fpckewanee.Org,Dale,Dykstra,307 S Tremont St,Kewanee,IL,61443,866107,Western Europe,Male,0.001362842
